"Hanslmeier, A.",205,1981,2016
"Thalmann, J.",21,2006,2016
"Veronig, A.",168,2000,2016
"Temmer, M.",128,1999,2016
"Poetzi, W.",26,2003,2016
"Moestl, C.",46,2006,2015
"Dissauer, K.",2,2013,2015
"Hernández-Pérez, A.",0,0,0
"Hofmeister, S.J.",2,2014,2015
"Reiss, M.",4,1991,2015
"Vanninathan, K.",8,2011,2015
"Lemmerer, B.",15,2010,2014
"Zaqarashvili, T.",79,1995,2016
"Isabell, P.",0,0,0
"Poedts, S.",176,1985,2016
"Van Doorsselaere, T.",70,2003,2016
"Keppens, R.",108,1993,2016
"Lapenta, G.",65,1996,2016
"Bacchini, F.",1,2015,2015
"Calvo Santamaría, I.",1,2013,2013
"Xia, C.",34,1980,2016
"Gonzalez, D.",71,1893,2015
"Kirit, M.",0,0,0
"Yu, D.J.",7,1975,2013
"Magyar, N.",3,2014,2016
"Ozak, N.",7,2010,2016
"Maneva, Y.",10,2007,2015
"Kupriyanova, E.",11,2000,2016
"Raes, J.",0,0,0
"Hosteaux, S.",0,0,0
"Andries, J.",30,2000,2014
"Atiie, R.",0,0,0
"Benmoussa, A.",8,2003,2015
"Berghmans, D.",57,1995,2016
"Bonte, K.",3,2011,2014
"Bourgoignie, B.",0,0,0
"Clette, F.",57,1984,2016
"Dominique, M.",17,2003,2016
"Dolla, L.",7,2008,2015
"D'Huys, E.",6,2012,2016
"Dammasch, I.",42,1998,2015
"Delouille, V.",18,2005,2016
"Gissot, S.",12,2007,2015
"Giordanengo, B.",4,2009,2015
"Janssens, J.",1,2001,2001
"Kraaikamp, E.",3,2015,2015
"Katsiyannis, T.",0,0,0
"Lefevre, L.",23,1989,2016
"Magdalenic, J.",25,2000,2016
"Marque, C.",17,2001,2014
"Mampaey, B.",7,2013,2015
"Mierla, M.",41,2002,2014
"Martinez, A.",19,1988,2016
"Nicula, B.",11,2005,2013
"Podladchikova, E.",0,0,0
"Rodriguez, L.",500,1974,2016
"Van der Linden, R.",45,1975,2012
"Verbeeck, F.",0,0,0
"Vanlommel, P.",14,1998,2014
"Verstringe, F.",0,0,0
"Wauters, L.",6,2005,2010
"West, M.",216,1970,2015
"Zhukov, A.",69,1980,2015
"Komitov, B.",33,1979,2016
"Duchlev, P.",21,1989,2016
"Brajsa, R.",87,1988,2016
"Vrsnak, B.",237,1987,2016
"Sudar, D.",32,1999,2016
"Zic, T.",20,2007,2016
"Dumbovic, M.",13,2011,2016
"Barta, M.",44,2000,2016
"Berlicki, A.",30,1996,2015
"Dudik, J.",26,2008,2016
"Dzifcakova, E.",47,1986,2016
"Gunar, S.",22,2005,2015
"Heinzel, P.",148,1974,2016
"Jurcak, J.",32,2005,2015
"Karlicky, M.",311,1976,2016
"Kasparova, J.",23,2002,2015
"Kotrc, P.",52,1976,2016
"Liu, W.",453,1975,2016
"Meszarosova, H.",34,1999,2016
"Nickeler, D.",20,2005,2015
"Skokic, I.",20,2008,2016
"Sobotka, M.",76,1979,2014
"Stepan, J.",13,2007,2015
"Svanda, M.",36,2004,2016
"Varady, M.",16,1992,2014
"Zapior, M.",10,2007,2016
"Zemanova, A.",2,2015,2015
"Nordlund, A.",188,1974,2016
"Galsgaard, K.",68,1991,2015
"Kilpua, E.",36,2009,2015
"Koskinen, H.",132,1983,2015
"Pomoell, J.",11,2008,2015
"Isavnin, A.",4,2011,2015
"Myllys, M.",2,2014,2014
"Palmerio, E.",0,0,0
"Mursula, K.",188,1986,2016
"Usoskin, I.",194,1990,2016
"Virtanen, I.",8,2008,2016
"Asvestari, E.",3,2013,2016
"Holappa, L.",8,2008,2015
"Pohjolainen, S.",69,1986,2016
"Riehokainen, A.",19,1997,2016
"Afanasiev, A.",15,1968,2015
"Battarbee, M.",13,2010,2015
"Kretzschmar, M.",36,2004,2016
"Buchlin, E.",17,2003,2015
"Appourchaux, T.",141,1987,2016
"Auchere, F.",47,1998,2015
"Baudin, F.",120,1990,2015
"Bocchialini, K.",31,1994,2015
