"Hanslmeier, A.",421,1981,2016
"Thalmann, J.",40,2005,2016
"Veronig, A.",300,1996,2016
"Temmer, M.",226,1999,2016
"Poetzi, W.",37,2000,2016
"Dickson, E.",53,1953,2015
"Möstl, C.",117,2006,2015
"Dissauer, K.",2,2013,2015
"Hernández-Pérez, A.",2,2006,2006
"Hofmeister, S.J.",3,1990,2015
"Reiß, M.",102,1926,2015
"Vanninathan, K.",9,2011,2015
"Thonhofer, S.",17,2012,2016
"Lemmerer, B.",20,2010,2015
"Zaqarashvili, T.",121,1995,2016
"Poedts, S.",419,1984,2016
"van Doorsselaere, T.",97,2003,2016
"Keppens, R.",194,1993,2016
"Lapenta, G.",489,1992,2016
"Bacchini, F.",1,2015,2015
"Zuccarello, F.",206,1969,2016
"Olshevsky, V.",76,1989,2016
"Antolin, P.",41,2008,2016
"Reznikova, V.",33,2002,2016
"Goossens, M.",376,1972,2016
"Ben Moussa, A.",18,1998,2014
"Giordanengo, B.",47,1988,2015
"Gissot, S.",27,2003,2015
"Rodriguez, L.",500,1831,2016
"Seaton, D.",84,1890,2016
"West, M.",500,1763,2016
"Zhukov, A.",500,1963,2016
"de Louille, V.",0,0,0
"Parenti, S.",73,1995,2015
"Magdalenic, J.",46,2000,2016
"Laurent, D.",37,1832,2015
"Marilena, M.",1,2014,2014
"Mampaey, B.",19,2010,2015
"Komitov, B.",72,1979,2015
"Duchlev, P.",33,1989,2015
"Brajsa, R.",112,1983,2016
"Vrsnak, B.",326,1980,2016
"Sudar, D.",67,1990,2016
"Zic, T.",24,2007,2016
"Dumbovic, M.",16,2011,2016
"Dzif?áková, E.",0,0,0
"Jurcak, J.",47,2002,2015
"Meszáro?ová, H.",0,0,0
"Sobotka, M.",150,1964,2016
"Stepan, J.",40,1967,2015
"Heinzel, P.",312,1974,2016
"Ambroz, P.",89,1969,2013
"Bumba, V.",267,1949,2013
"Klvana, M.",103,1976,2012
"Svanda, M.",50,2000,2016
"Kasparova, J.",60,1998,2016
"Bárta, M.",89,1978,2016
"Nordlund, Å.",470,1974,2016
"Galsgaard, K.",114,1991,2015
"Presmann, M.",2,2015,2015
"Kilpua, E.",104,2008,2015
"Vainio, R.",215,1992,2015
"Koskinen, H.",232,1975,2015
"Andreeova, K.",34,2005,2015
"Afanasiev, A.",78,1968,2015
"Pomoell, J.",26,2003,2015
"Hietala, H.",49,2008,2015
"Isavnin, A.",28,1994,2015
"Mursula, K.",376,1982,2016
"Usoskin, I.",348,1988,2016
"Ilpo, V.",1,2013,2013
"Asvestari, E.",5,2010,2015
"Holappa, L.",24,1999,2015
"Pohjolainen, S.",133,1986,2016
"Riehokainen, A.",28,1997,2016
"Valtonen, E.",155,1976,2016
"Afanasiev, A.",78,1968,2015
"Battarbee, M.",22,2008,2015
"Kretzschmar, M.",151,1956,2015
"Buchlin, E.",55,2000,2015
"Appourchaux, T.",273,1984,2016
"Vial, J.",457,1956,2016
"Pelouze, G.",12,1830,2016
"Stellmacher, G.",108,1968,2015
"Auchere, F.",140,1998,2015
"Baudin, F.",264,1803,2015
"Bocchialini, K.",81,1992,2015
"Boumier, P.",85,1988,2015
"Dominguez, C.",347,1967,2016
"Dubau, J.",181,1973,2013
"Froment, C.",3,2013,2015
"Joulin, V.",5,1990,2014
"Solomon, J.",500,1929,2016
"Aulanier, G.",171,1996,2016
"Bommier, V.",147,1977,2015
"Malherbe, J.",313,1956,2015
"Pariat, E.",98,2002,2016
"Schmieder, B.",500,1969,2016
"Vilmer, N.",188,1980,2016
"Doressoundiram, A.",280,1995,2016
"Briand, C.",91,1975,2016
"Chambe, G.",29,1969,2016
"Mein, P.",249,1959,2014
"Mein, N.",118,1968,2015
"Mercier, C.",102,1888,2016
"Moity, J.",20,1975,2012
