# Ref. Fig. 6 (dashed line) in García-Lorenzo & Fuensalida, MNRAS, 410, 934 (2011) 
# Altitude (meters)  CN2(m^-2/3)
      1600.00  3.74349e-17
      1900.00  7.59402e-17
      2200.00  1.41786e-16
      2500.00  1.83783e-16
      2800.00  1.43937e-16
      3100.00  7.31033e-17
      3400.00  3.13875e-17
      3700.00  1.22889e-17
      4000.00  7.56215e-18
      4300.00  6.29172e-18
      4600.00  5.88632e-18
      4900.00  5.70349e-18
      5200.00  5.47418e-18
      5500.00  5.02800e-18
      5800.00  4.61872e-18
      6100.00  4.30857e-18
      6400.00  4.13908e-18
      6700.00  3.90185e-18
      7000.00  3.68057e-18
      7300.00  3.34873e-18
      7600.00  3.02162e-18
      7900.00  2.83226e-18
      8200.00  2.67725e-18
      8500.00  2.58922e-18
      8800.00  2.53383e-18
      9100.00  2.55032e-18
      9400.00  2.55279e-18
      9700.00  2.54223e-18
      10000.0  2.49686e-18
      10300.0  2.46098e-18
      10600.0  2.44178e-18
      10900.0  2.41410e-18
      11200.0  2.39608e-18
      11500.0  2.41341e-18
      11800.0  2.42046e-18
      12100.0  2.44097e-18
      12400.0  2.48378e-18
      12700.0  2.54656e-18
      13000.0  2.64953e-18
      13300.0  2.76429e-18
      13600.0  2.90634e-18
      13900.0  3.03710e-18
      14200.0  3.12389e-18
      14500.0  3.15588e-18
      14800.0  3.17067e-18
      15100.0  3.10458e-18
      15400.0  3.04458e-18
      15700.0  2.95324e-18
      16000.0  2.82791e-18
      16300.0  2.68955e-18
      16600.0  2.52524e-18
      16900.0  2.33695e-18
      17200.0  2.12530e-18
      17500.0  1.91712e-18
      17800.0  1.66324e-18
      18100.0  1.42880e-18
      18400.0  1.22620e-18
      18700.0  1.02234e-18
      19000.0  8.15507e-19
      19300.0  6.25048e-19
      19600.0  4.61977e-19
      19900.0  3.24452e-19
      20200.0  2.14102e-19
      20500.0  1.31406e-19
      20800.0  7.51555e-20
      21100.0  3.98903e-20
      21400.0  1.97316e-20
      21700.0  9.37649e-21
      22000.0  3.68575e-21
      22300.0  1.29711e-21
      22600.0  3.81277e-22
      22900.0  9.39664e-23
      23200.0  2.80740e-23
      23500.0  8.92890e-24
      23800.0  3.76408e-24
      24100.0  2.25237e-24
      24400.0  1.82241e-24
      24700.0  4.52595e-25
      25000.0  2.05920e-26
